"","location","date","High Temp","Low Temp","Day Average Temp","Precipitation","Dew Point","High","Low","Average","Max Wind Speed","Visibiilty","Sea Level Pressure","Actual Time"
"X2...1","ca/san-diego/KSAN","2019-10-27","69","62","65.75","0.00","58.94","64","52","58.94","15","10","29.88","11h 1m"
"X2...2","ca/san-diego/KSAN","2019-10-28","75","56","64.75","0.00","46","53","32","46","9","10","29.98","10h 59m"
"X2...3","ca/san-diego/KSAN","2019-10-29","70","53","62.54","0.00","47.54","57","36","47.54","12","10","29.96","10h 57m"
"X2...4","ca/san-diego/KSAN","2019-10-30","78","52","64.08","0.00","30.25","54","-2","30.25","9","10","30.11","10h 55m"
"X2...5","ca/san-diego/KSAN","2019-10-31","77","47","60.96","0.00","21.44","47","6","21.44","12","10","30.12","10h 53m"
"X2...6","ca/san-diego/KSAN","2019-11-01","75","49","61.54","0.00","33.88","53","10","33.88","10","10","30.07","10h 52m"
"X2...7","ca/san-diego/KSAN","2019-11-02","80","51","63.17","0.00","38.75","61","19","38.75","9","10","30.06","10h 50m"
"X2...8","ca/san-diego/KSAN","2019-11-03","77","48","61.27","0.00","40.65","58","18","40.65","13","10","29.99","10h 48m"
"X2...9","ca/san-diego/KSAN","2019-11-04","73","49","61.12","0.00","50.03","62","27","50.03","10","10","29.98","10h 46m"
"X2...10","ca/san-diego/KSAN","2019-11-05","71","51","62.56","0.00","56.52","63","46","56.52","10","10","30.01","10h 45m"
"X2...11","ca/san-diego/KSAN","2019-11-06","69","58","63.26","0.00","58.59","60","56","58.59","9","10","30.02","10h 43m"
"X2...12","ca/san-diego/KSAN","2019-11-07","71","61","63.47","0.00","59.81","62","58","59.81","12","10","30.1","10h 41m"
"X2...13","ca/san-diego/KSAN","2019-11-08","73","58","63.17","0.00","58","62","52","58","12","10","30.09","10h 40m"
"X2...14","ca/san-diego/KSAN","2019-11-09","83","56","67.28","0.00","55.19","66","38","55.19","10","10","30","10h 38m"
"X2...15","ca/san-diego/KSAN","2019-11-10","68","62","63.83","0.00","59.83","63","57","59.83","9","10","30.01","10h 36m"
"X2...16","ca/san-diego/KSAN","2019-11-11","68","57","63.62","0.00","57.35","59","55","57.35","9","10","30.03","10h 35m"
"X2...17","ca/san-diego/KSAN","2019-11-12","72","58","62.82","0.00","59.32","62","56","59.32","12","8","30.07","10h 33m"
"X2...18","ca/san-diego/KSAN","2019-11-13","68","58","62.91","0.00","58.69","61","56","58.69","10","10","30.02","10h 32m"
"X2...19","ca/san-diego/KSAN","2019-11-14","69","57","63.65","0.00","58.1","60","55","58.1","14","10","30.11","10h 30m"
"X2...20","ca/san-diego/KSAN","2019-11-15","70","60","64.24","0.00","57.56","59","56","57.56","14","10","30.1","10h 29m"
"X2...21","ca/san-diego/KSAN","2019-11-16","71","56","63.71","0.00","58.54","62","53","58.54","12","10","29.99","10h 27m"
"X2...22","ca/san-diego/KSAN","2019-11-17","88","55","70.63","0.00","43.13","58","29","43.13","8","10","29.95","10h 26m"
"X2...23","ca/san-diego/KSAN","2019-11-18","91","58","71.63","0.00","40.92","59","31","40.92","10","10","29.9","10h 24m"
"X2...24","ca/san-diego/KSAN","2019-11-19","76","60","67.33","0.00","57.23","66","43","57.23","16","10","29.76","10h 23m"
"X2...25","ca/san-diego/KSAN","2019-11-20","64","59","61.19","0.11","53.73","56","47","53.73","18","10","29.76","10h 22m"
"X2...26","ca/san-diego/KSAN","2019-11-21","66","57","60.6","0.53","54.4","56","51","54.4","12","10","30.06","10h 20m"
"X2...27","ca/san-diego/KSAN","2019-11-22","70","52","61.33","0.13","51.13","55","47","51.13","12","10","30.14","10h 19m"
"X2...28","ca/san-diego/KSAN","2019-11-23","71","52","61.83","0.00","48","52","44","48","9","10","30.12","10h 18m"
"X2...29","ca/san-diego/KSAN","2019-11-24","74","53","62.25","0.00","46.92","56","40","46.92","10","10","30.09","10h 17m"
"X2...30","ca/san-diego/KSAN","2019-11-25","67","50","60.97","0.00","51.84","58","43","51.84","12","10","29.96","10h 15m"
"X2...31","ca/san-diego/KSAN","2019-11-26","67","53","59.71","0.00","45.71","54","37","45.71","10","10","29.92","10h 14m"
"X2...32","ca/san-diego/KSAN","2019-11-27","66","54","57.53","0.00","48.58","56","32","48.58","16","10","29.79","10h 13m"
"X2...33","ca/san-diego/KSAN","2019-11-28","61","53","55.11","0.28","49.97","54","45","49.97","22","10","29.68","10h 12m"
"X2...34","ca/san-diego/KSAN","2019-11-29","61","50","55.67","1.37","43.85","48","39","43.85","16","10","30.07","10h 11m"
"X2...35","ca/san-diego/KSAN","2019-11-30","63","52","57.25","0.30","45","49","41","45","8","10","30.18","10h 10m"
